time	V(n001)	I(D1)
4.187999718207981e-08	-6.000000e+00	-8.761965e-08
4.190999718207980e-08	-6.000000e+00	-6.927660e-08
4.193999718207980e-08	-6.000000e+00	-5.845967e-08
4.196571146779408e-08	-6.000000e+00	-5.386077e-08
4.199142575350836e-08	-6.000000e+00	-5.008565e-08
4.201714003922264e-08	-6.000000e+00	-4.713431e-08
4.204285432493692e-08	-6.000000e+00	-4.500676e-08
4.206856861065120e-08	-6.000000e+00	-4.370300e-08
4.209428289636548e-08	-6.000000e+00	-4.322302e-08
4.211999718207976e-08	-6.000000e+00	-4.356683e-08
5.082999718207811e-08	-6.000000e+00	-4.291305e-08
6.100000000000000e-08	-6.000000e+00	-4.291305e-08
6.100035505840135e-08	-5.997515e+00	1.230216e-05
6.100071575265035e-08	-5.994990e+00	2.476466e-05
6.100143714114833e-08	-5.989940e+00	4.945437e-05
6.100287991814429e-08	-5.979841e+00	9.790733e-05
6.100576547213622e-08	-5.959642e+00	1.912222e-04
6.101153658012008e-08	-5.919244e+00	3.643594e-04
6.102153658012008e-08	-5.849244e+00	6.262569e-04
6.103153658012008e-08	-5.779244e+00	8.461296e-04
6.104153658012008e-08	-5.709244e+00	1.030977e-03
6.105153658012007e-08	-5.639244e+00	1.186671e-03
6.106153658012007e-08	-5.569244e+00	1.318116e-03
6.107153658012007e-08	-5.499244e+00	1.429413e-03
6.108153658012007e-08	-5.429244e+00	1.523978e-03
6.109153658012007e-08	-5.359244e+00	1.604656e-03
6.110153658012007e-08	-5.289244e+00	1.673813e-03
6.112153658012006e-08	-5.149244e+00	1.785104e-03
6.114153658012006e-08	-5.009244e+00	1.869924e-03
6.117153658012005e-08	-4.799244e+00	1.965030e-03
6.119439372297718e-08	-4.639244e+00	2.016396e-03
6.121725086583433e-08	-4.479244e+00	2.064802e-03
6.124010800869146e-08	-4.319244e+00	2.110248e-03
6.126296515154861e-08	-4.159244e+00	2.152734e-03
6.128582229440574e-08	-3.999244e+00	2.192260e-03
6.130867943726289e-08	-3.839244e+00	2.228826e-03
6.133153658012002e-08	-3.679244e+00	2.262432e-03
6.138010800869144e-08	-3.339244e+00	2.338237e-03
6.142867943726287e-08	-2.999244e+00	2.424665e-03
6.147725086583428e-08	-2.659244e+00	2.521716e-03
6.152582229440570e-08	-2.319244e+00	2.629390e-03
6.157439372297711e-08	-1.979244e+00	2.747687e-03
6.162296515154854e-08	-1.639244e+00	2.876606e-03
6.167153658011996e-08	-1.299244e+00	3.016148e-03
6.170439372297709e-08	-1.069244e+00	3.119830e-03
6.173725086583423e-08	-8.392439e-01	3.238980e-03
6.177010800869136e-08	-6.092439e-01	3.373599e-03
6.180296515154851e-08	-3.792440e-01	3.523686e-03
6.183582229440564e-08	-1.492440e-01	3.689242e-03
6.186867943726278e-08	8.075605e-02	3.870266e-03
6.190153658011991e-08	3.107561e-01	4.066759e-03
6.191153658011991e-08	3.807561e-01	4.133651e-03
6.192153658011991e-08	4.507561e-01	4.203166e-03
6.194153658011991e-08	5.907561e-01	4.350684e-03
6.197153658011990e-08	8.007560e-01	4.595908e-03
6.200000000000000e-08	1.000000e+00	4.860805e-03
6.201324216140287e-08	1.000000e+00	4.554917e-03
6.202648432280575e-08	1.000000e+00	4.283358e-03
6.203972648420862e-08	1.000000e+00	4.046129e-03
6.205296864561151e-08	1.000000e+00	3.843229e-03
6.206621080701439e-08	1.000000e+00	3.674658e-03
6.207945296841726e-08	1.000000e+00	3.540417e-03
6.209269512982014e-08	1.000000e+00	3.440505e-03
6.211269512982013e-08	1.000000e+00	3.315667e-03
6.214269512982013e-08	1.000000e+00	3.182071e-03
6.216698084410584e-08	1.000000e+00	3.109747e-03
6.219126655839154e-08	1.000000e+00	3.045314e-03
6.221555227267725e-08	1.000000e+00	2.988773e-03
6.223983798696297e-08	1.000000e+00	2.940122e-03
6.226412370124868e-08	1.000000e+00	2.899363e-03
6.228840941553439e-08	1.000000e+00	2.866494e-03
6.231269512982010e-08	1.000000e+00	2.841517e-03
6.238126655839151e-08	1.000000e+00	2.778508e-03
6.244983798696293e-08	1.000000e+00	2.722428e-03
6.251840941553435e-08	1.000000e+00	2.673278e-03
6.258698084410576e-08	1.000000e+00	2.631057e-03
6.265555227267717e-08	1.000000e+00	2.595765e-03
6.272412370124859e-08	1.000000e+00	2.567402e-03
6.279269512982001e-08	1.000000e+00	2.545969e-03
6.299269512981997e-08	1.000000e+00	2.489628e-03
6.319269512981993e-08	1.000000e+00	2.439550e-03
6.339269512981989e-08	1.000000e+00	2.395736e-03
6.359269512981985e-08	1.000000e+00	2.358184e-03
6.379269512981982e-08	1.000000e+00	2.326895e-03
6.399269512981978e-08	1.000000e+00	2.301870e-03
6.419269512981974e-08	1.000000e+00	2.283107e-03
6.476983798696249e-08	1.000000e+00	2.234621e-03
6.534698084410523e-08	1.000000e+00	2.191844e-03
6.592412370124799e-08	1.000000e+00	2.154776e-03
6.650126655839073e-08	1.000000e+00	2.123418e-03
6.707840941553348e-08	1.000000e+00	2.097770e-03
6.765555227267623e-08	1.000000e+00	2.077831e-03
6.823269512981897e-08	1.000000e+00	2.063601e-03
7.117269512981842e-08	1.000000e+00	1.999469e-03
7.243373868270150e-08	1.000000e+00	1.982023e-03
7.369478223558459e-08	1.000000e+00	1.966559e-03
7.495582578846767e-08	1.000000e+00	1.953079e-03
7.621686934135076e-08	1.000000e+00	1.941582e-03
7.747791289423383e-08	1.000000e+00	1.932069e-03
7.873895644711692e-08	1.000000e+00	1.924539e-03
8.000000000000000e-08	1.000000e+00	1.918992e-03
8.006442247218212e-08	5.490427e-01	-3.275333e-04
8.012884494436423e-08	9.808540e-02	-2.571523e-03
8.019326741654634e-08	-3.528719e-01	-4.812978e-03
8.025768988872846e-08	-8.038292e-01	-7.051897e-03
8.032211236091058e-08	-1.254786e+00	-9.288282e-03
8.038653483309268e-08	-1.705744e+00	-1.152213e-02
8.045095730527480e-08	-2.156701e+00	-1.375344e-02
8.052667159098908e-08	-2.686701e+00	-1.639413e-02
8.060238587670335e-08	-3.216701e+00	-1.901012e-02
8.067810016241762e-08	-3.746701e+00	-2.160142e-02
8.075381444813188e-08	-4.276701e+00	-2.416803e-02
8.082952873384616e-08	-4.806701e+00	-2.670994e-02
8.090524301956043e-08	-5.336701e+00	-2.922716e-02
8.098095730527470e-08	-5.866701e+00	-3.171968e-02
8.100090426947253e-08	-6.000000e+00	-3.229059e-02
8.100699852270330e-08	-6.000000e+00	-3.226484e-02
8.101309277593408e-08	-6.000000e+00	-3.222478e-02
8.101918702916485e-08	-6.000000e+00	-3.217043e-02
8.102528128239562e-08	-6.000000e+00	-3.210178e-02
8.103137553562640e-08	-6.000000e+00	-3.201883e-02
8.103746978885717e-08	-6.000000e+00	-3.192159e-02
8.104356404208794e-08	-6.000000e+00	-3.181005e-02
8.105356404208794e-08	-6.000000e+00	-3.135736e-02
8.106356404208794e-08	-6.000000e+00	-3.016698e-02
8.107356404208794e-08	-6.000000e+00	-2.853129e-02
8.108356404208794e-08	-6.000000e+00	-2.666904e-02
8.110356404208793e-08	-6.000000e+00	-2.250842e-02
8.112356404208793e-08	-6.000000e+00	-1.823830e-02
8.113356404208793e-08	-6.000000e+00	-1.620170e-02
8.114356404208792e-08	-6.000000e+00	-1.428249e-02
8.115356404208792e-08	-6.000000e+00	-1.250478e-02
8.116356404208792e-08	-6.000000e+00	-1.088232e-02
8.117356404208792e-08	-6.000000e+00	-9.420235e-03
8.118356404208792e-08	-6.000000e+00	-8.116913e-03
8.119356404208791e-08	-6.000000e+00	-6.965877e-03
8.120356404208791e-08	-6.000000e+00	-5.957376e-03
8.121356404208791e-08	-6.000000e+00	-5.079722e-03
8.122356404208791e-08	-6.000000e+00	-4.320324e-03
8.123356404208791e-08	-6.000000e+00	-3.666455e-03
8.124356404208791e-08	-6.000000e+00	-3.105778e-03
8.125356404208790e-08	-6.000000e+00	-2.626697e-03
8.126356404208790e-08	-6.000000e+00	-2.218549e-03
8.127356404208790e-08	-6.000000e+00	-1.871704e-03
8.128356404208790e-08	-6.000000e+00	-1.577575e-03
8.129356404208790e-08	-6.000000e+00	-1.328595e-03
8.130356404208789e-08	-6.000000e+00	-1.118150e-03
8.131356404208789e-08	-6.000000e+00	-9.405006e-04
8.132356404208789e-08	-6.000000e+00	-7.906947e-04
8.133356404208789e-08	-6.000000e+00	-6.644814e-04
8.134356404208789e-08	-6.000000e+00	-5.582250e-04
8.135356404208788e-08	-6.000000e+00	-4.688264e-04
8.136356404208788e-08	-6.000000e+00	-3.936509e-04
8.137356404208788e-08	-6.000000e+00	-3.304638e-04
8.138356404208788e-08	-6.000000e+00	-2.773730e-04
8.139356404208788e-08	-6.000000e+00	-2.327795e-04
8.140356404208787e-08	-6.000000e+00	-1.953329e-04
8.141356404208787e-08	-6.000000e+00	-1.638949e-04
8.142356404208787e-08	-6.000000e+00	-1.375062e-04
8.143356404208787e-08	-6.000000e+00	-1.153593e-04
8.144356404208787e-08	-6.000000e+00	-9.677475e-05
8.145356404208787e-08	-6.000000e+00	-8.118126e-05
8.146356404208786e-08	-6.000000e+00	-6.809864e-05
8.147356404208786e-08	-6.000000e+00	-5.712345e-05
8.148356404208786e-08	-6.000000e+00	-4.791678e-05
8.149356404208786e-08	-6.000000e+00	-4.019409e-05
8.150356404208786e-08	-6.000000e+00	-3.371648e-05
8.151356404208785e-08	-6.000000e+00	-2.828341e-05
8.152356404208785e-08	-6.000000e+00	-2.372660e-05
8.153356404208785e-08	-6.000000e+00	-1.990482e-05
8.154356404208785e-08	-6.000000e+00	-1.669958e-05
8.155356404208785e-08	-6.000000e+00	-1.401147e-05
8.156356404208784e-08	-6.000000e+00	-1.175709e-05
8.157356404208784e-08	-6.000000e+00	-9.866484e-06
8.158356404208784e-08	-6.000000e+00	-8.280972e-06
8.159356404208784e-08	-6.000000e+00	-6.951329e-06
8.160356404208784e-08	-6.000000e+00	-5.836274e-06
8.161356404208784e-08	-6.000000e+00	-4.901180e-06
